PK,NOMBRE,HORARIO,TRANSPORTE,EQUIPAMIENTO,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
4815493,Sala de lectura Pilares (Barajas),"De lunes a domingo, de 8 a 24 horas.No cierra ningún día","Metro: Barajas (línea 8)Bus: 101, 105, 115",Puestos de lectura: 72,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=747e48136c558110VgnVCM1000000b205a0aRCRD,LOS PILARES,CALLE,V,3,,,,,MADRID,MADRID,28042,CASCO H.BARAJAS,BARAJAS,451023,4480645,4.047.504.564.286,-357.780.599.674.574,915 888 103,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/4.047.504.564.286,-357.780.599.674.574"
6924985,Sala de estudio Francisco José González Tejera (Hortaleza),"Horario habitual: de lunes a domingos y festivos, de 9 a 22 horas.Horario verano: de lunes a domingos y festivos, de 9 a 22 horas.","Metro: Parque de Santa María (línea 4)Bus: 72, 87, 107",Puestos de lectura: 56Wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd6f094110a5e310VgnVCM1000000b205a0aRCRD,SANTA VIRGILIA,CALLE,V,15,,,,ubicada en el Centro Cultural Hortaleza,MADRID,MADRID,28033,PINAR DEL REY,HORTALEZA,445577,4480884,404.768.597.148.045,-364.205.892.795.909,913 821 493,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.768.597.148.045,-364.205.892.795.909"
4815112,Sala de estudio Carril del Conde (Hortaleza),"Horario habitual: De lunes a domingos y festivos, de 9 a 22 horas. Julio y agosto cerrado.","Metro: Arturo Soria (línea 4)Bus: 9, 72, 73",Puestos de lectura: 210Wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cdc10e4d44558110VgnVCM1000000b205a0aRCRD,CARRIL DEL CONDE,CALLE,V,57,,,,ubicada en el Centro Cultural Carril del Conde,MADRID,MADRID,28043,CANILLAS,HORTALEZA,444516,4479119,404.608.894.685.369,-365.443.281.283.687,917 161 240,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.608.894.685.369,-365.443.281.283.687"
10751094,Sala de estudio Motilla del Palancar (Hortaleza),"De lunes a domingos y festivos, de 9 a 21:45 horas.","Metro: Canillas (línea 4)Bus: 73, 120, 112, 153",Puestos de lectura: 60Wifi,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f2114531d18a4610VgnVCM1000001d4a900aRCRD,MOTILLA DEL PALANCAR,CALLE,V,13,local bajo,,,"posterior, con vuelta a calle Pedro Alonso",MADRID,MADRID,28043,CANILLAS,HORTALEZA,446308,4479597,404.653.206.798.484,-363.332.159.843.664,683 498 715,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.653.206.798.484,-363.332.159.843.664"
5753557,Sala de estudio Galileo (Chamberí),"De lunes a domingo, de 8:30 a 21:30 horas.","Metro: Moncloa (líneas 3, 6) , Quevedo (línea 2)Bus: 2, 16, 61BICIMAD: 127 (calle Fernando el Católico, 19)",Puestos de lectura: 87,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=08a9964bd47a9210VgnVCM1000000b205a0aRCRD,GALILEO,CALLE,V,39,,,,,MADRID,MADRID,28015,ARAPILES,CHAMBERI,439741,4476139,404.337.119.096.479,-371.045.435.979.578,915 913 901,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.337.119.096.479,-371.045.435.979.578"
4812602,Sala de estudio Luis Gonzaga (Chamartín),"De lunes a domingo, 9 a 21:30 horas. Cerrado: 1 a 25 de agosto. Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Cruz del Rayo (línea 9).Bus: 29, 52, 1BICIMAD: Estación 146 (calle María Francisca, 1)",Puestos de lectura: 96Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e653d0a471148110VgnVCM1000000b205a0aRCRD,PRINCIPE DE VERGARA,CALLE,V,142,,,,ubicada en el Centro Sociocultural Luis Gonzaga,MADRID,MADRID,28002,CIUDAD JARDIN,CHAMARTIN,442496,4477359,404.448.972.322.866,-367.809.729.224.537,915 886 596 / 885 219,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.448.972.322.866,-367.809.729.224.537"
8637537,Sala de Estudio del Centro Social Clara Campoamor (Retiro),"De lunes a domingo, de 9 a 21 horas.","Metro: Pacífico (línea 1 y 6)Bus: 24, 37, 54, 57, 141",Puestos de lectura:  165 Zona wifi,Acceso por plaza de Daoíz y Velarde.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad345442c6452510VgnVCM2000000c205a0aRCRD,DAOIZ Y VELARDE,PLAZA,V,2,,,,,MADRID,MADRID,28007,PACIFICO,RETIRO,442527,4472618,404.021.904.388.368,-367.728.262.983.291,915 132 834,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.021.904.388.368,-367.728.262.983.291"
4815389,Sala de estudio Valdebernardo (Vicálvaro),"Sábados, domingos y festivos de 9 a 13:45 y de 16 a 19:45.Cerrado agosto.Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Valdebernardo (línea 9)Bus: 8, 71, 130",,Dos salas de estudio. Puestos de lectura: 60Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1dc9c0e48a558110VgnVCM1000000b205a0aRCRD,INDALECIO PRIETO,BULEVAR,V,21,,,,,MADRID,MADRID,28032,CASCO H.VICALVARO,VICALVARO,447278,4472321,403.998.289.141.041,-362.128.189.057.038,913 016 460,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.998.289.141.041,-362.128.189.057.038"
4815414,Sala de estudio El Madroño (Vicálvaro),"Sábados, domingos y festivos de 9 a 14 y de 16 a 20 horas. Cerrada 25 diciembre y 6 enero.","Metro: Vicálvaro (línea 9)Bus: 4, 100, 106, 130, E3",,Puestos de lectura: 30Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=62c0c0e48a558110VgnVCM1000000b205a0aRCRD,VILLARDONDIEGO,CALLE,V,36,,,,,MADRID,MADRID,28032,CASCO H.VICALVARO,VICALVARO,448357,4472920,404.052.927.214.361,-360.861.612.000.172,917 753 140,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.052.927.214.361,-360.861.612.000.172"
8071924,Sala de estudio Ciudad Pegaso (San Blas - Canillejas),Lunes a domingo de 9:30 a 14:45 y de 16:15 a 21:30 horas.,Bus: 77,,Puestos de lectura: 32Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df3576e159ead410VgnVCM1000000b205a0aRCRD,SÉPTIMA,AVENIDA,V,11,,,,ubicado en el Centro Cultural Ciudad Pegaso,MADRID,MADRID,28022,REJAS,SAN BLAS-CANILLEJAS,449282,4477702,404.484.289.257.626,-359.809.698.881.874,913 209 770 / 917 413 092,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.484.289.257.626,-359.809.698.881.874"
